,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
7251,16,5,1,0,16.375,7,631,4,0,0,0,0,1,1,0,0,1,3
4037,18,6,1,0,16.175,7,635,0,0,0,0,1,0,3,0,0,0,2
7018,14,4,1,0,16.075000000000003,9,622,3,0,0,0,0,0,4,0,0,0,3
6215,12,3,0,0,16.075,7,631,4,0,0,0,1,1,3,0,0,1,3
6003,12,3,0,0,16.075,7,631,4,0,0,0,0,1,2,0,0,1,3
939,9,2,1,0,15.950000000000001,7,626,0,0,0,0,1,0,1,0,0,0,2
1216,9,2,0,0,15.900000000000002,3,624,4,0,0,0,0,1,3,0,0,1,2
1114,9,2,0,0,15.900000000000002,3,624,4,0,0,0,0,1,2,0,0,1,2
4199,18,6,0,0,15.9,7,636,0,0,0,0,1,0,4,0,0,0,2
247,7,1,2,0,15.875,1,605,2,0,0,0,0,1,1,0,0,1,2
4149,18,6,2,0,15.8,6,602,2,0,0,0,0,1,4,0,0,1,2
6441,14,4,0,0,15.8,2,566,22,0,0,0,0,0,0,0,0,0,3
865,9,2,0,0,15.8,3,620,4,0,1,0,0,0,0,0,0,0,2
777,9,2,0,0,15.8,3,620,4,0,0,0,0,1,0,0,0,1,2
6639,14,4,0,0,15.775,9,622,3,0,0,0,1,0,1,0,0,0,3
6670,14,4,0,0,15.725000000000001,5,617,4,0,0,0,0,0,2,0,0,0,3
6366,12,3,2,0,15.725000000000001,7,563,14,0,0,0,1,0,4,0,0,0,3
6829,14,4,0,0,15.725000000000001,5,617,4,0,0,0,0,0,3,0,0,0,3
5849,12,3,0,0,15.675,8,627,0,0,0,0,0,1,1,0,0,1,3
4130,18,6,2,0,15.675,6,534,23,0,0,0,1,0,3,0,0,0,2
6106,12,3,0,0,15.675,8,627,0,0,0,0,0,1,3,0,0,1,3
1990,12,3,0,0,15.65,5,545,27,0,0,0,1,0,3,0,0,0,2
6099,12,3,2,0,15.600000000000001,5,594,2,0,0,0,1,1,3,0,0,1,3
6535,14,4,0,0,15.6,9,621,1,0,0,0,0,1,1,0,0,1,3
6856,14,4,0,0,15.6,9,621,1,0,0,0,0,1,3,0,0,1,3
6270,12,3,0,0,15.55,3,568,18,1,0,0,0,0,4,0,0,0,3
7932,18,6,0,0,15.55,9,562,20,0,0,0,1,0,1,0,0,0,3
5678,12,3,0,0,15.475,3,565,18,1,0,0,0,0,0,0,0,0,3
4683,7,1,0,0,15.4,9,598,6,4,0,0,1,0,2,0,0,0,3
5282,9,2,1,0,15.375000000000002,7,603,0,0,0,0,1,0,2,0,0,0,3
3068,16,5,1,0,15.325000000000001,9,592,3,0,0,0,1,0,1,0,0,0,2
1502,12,3,0,0,15.325000000000001,9,586,9,0,0,0,1,0,0,0,0,0,2
7517,16,5,11,0,15.225000000000001,0,477,0,0,0,0,1,7,3,0,0,1,3
6954,14,4,0,0,15.100000000000001,9,421,61,1,0,0,1,0,4,0,0,0,3
6122,12,3,1,0,15.0,3,510,26,0,1,0,0,0,3,0,0,0,3
3760,18,6,0,0,14.925,5,597,0,0,0,0,1,0,1,0,0,0,2
7899,18,6,0,0,14.9,6,593,1,0,0,0,0,0,0,0,0,0,3
938,9,2,0,0,14.875,6,547,16,1,0,0,1,0,1,0,0,0,2
3045,16,5,0,0,14.825000000000001,7,551,14,0,0,0,1,0,1,0,0,0,2
1820,12,3,0,0,14.675,4,536,17,0,0,0,1,0,2,0,0,0,2
240,7,1,3,0,14.650000000000002,6,538,4,0,0,0,0,0,1,0,0,0,2
901,9,2,0,0,14.625000000000002,7,573,4,0,0,0,1,0,1,0,0,0,2
4012,18,6,0,0,14.600000000000001,6,557,9,0,0,0,1,0,3,0,0,0,2
