,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
13445,9,2,2,0,35.7,8,1233,57,1,0,0,0,0,3,0,0,0,5
14623,14,4,2,0,35.7,8,1233,57,0,0,0,0,1,2,0,0,1,5
18721,14,4,2,0,35.675,9,1271,44,0,0,0,0,0,3,0,0,0,6
18774,14,4,2,0,35.675,9,1271,44,1,0,0,0,0,3,0,0,0,6
19326,16,5,3,1,35.65,0,1366,0,1,0,0,0,0,2,0,1,0,6
680,7,1,2,0,35.625,9,1269,44,1,0,0,0,0,4,0,0,0,2
27149,16,5,0,0,35.6,4,1415,3,0,0,0,0,2,1,0,0,1,1
25258,9,2,2,0,35.6,8,1229,57,0,0,0,1,0,2,0,0,0,1
9557,9,2,29,2,35.474999999999994,6,1011,4,0,0,0,0,0,4,0,1,0,4
7772,18,6,1,0,35.425000000000004,8,1234,57,0,0,0,0,4,1,0,0,1,3
9377,9,2,1,0,35.425000000000004,8,1234,57,0,0,0,0,3,3,0,0,1,4
7964,18,6,1,0,35.425000000000004,8,1234,57,0,0,0,0,1,2,0,0,1,3
15353,16,5,1,0,35.400000000000006,8,1233,57,0,0,0,1,0,3,0,0,0,5
14853,14,4,1,0,35.400000000000006,8,1233,57,0,0,0,0,1,4,0,0,1,5
14926,14,4,1,0,35.400000000000006,8,1233,57,0,0,0,0,2,4,0,0,1,5
26672,14,4,1,0,35.4,8,1230,58,0,0,0,0,2,3,0,0,1,1
26654,14,4,1,0,35.4,8,1230,58,0,0,0,0,2,3,0,0,1,1
26754,14,4,1,0,35.4,8,1230,58,0,0,0,0,3,3,0,0,1,1
19169,16,5,1,0,35.375,8,1232,57,0,0,0,0,2,1,0,0,1,6
19071,16,5,1,0,35.375,8,1232,57,0,0,0,1,0,1,0,0,0,6
2018,12,3,1,1,35.25,9,1023,117,0,0,0,1,0,3,0,1,0,2
5156,9,2,0,0,35.175000000000004,8,1236,57,0,0,0,0,1,1,0,0,1,3
2305,14,4,0,0,35.175000000000004,8,1236,57,0,0,0,0,1,0,0,0,1,2
3191,16,5,0,0,35.175000000000004,8,1236,57,0,0,0,0,1,1,0,0,1,2
5164,9,2,0,0,35.175000000000004,8,1236,57,0,0,0,0,2,1,0,0,1,3
27769,18,6,0,0,35.125,8,1231,58,0,0,0,1,0,1,0,0,0,1
26682,14,4,0,0,35.1,8,1230,58,0,0,0,0,1,3,0,0,1,1
18994,16,5,0,0,35.1,8,1233,57,0,0,0,0,2,0,0,0,1,6
17598,9,2,21,0,35.1,6,1152,0,0,0,0,0,0,4,0,0,0,6
26709,14,4,0,0,35.1,8,1230,58,0,0,0,0,1,3,0,0,1,1
18991,16,5,0,0,35.075,9,1271,44,0,0,0,0,1,0,0,0,1,6
6591,14,4,0,0,35.05,9,1270,44,0,0,0,1,0,2,0,0,0,3
6577,14,4,0,0,35.05,9,1270,44,0,0,0,1,0,2,0,0,0,3
9337,9,2,6,2,35.05,4,1267,5,0,0,0,1,0,2,0,1,0,4
26546,14,4,1,1,35.05,9,1291,25,0,1,0,0,1,2,0,1,0,1
2406,14,4,0,1,34.95,9,1023,117,0,0,0,1,1,1,0,1,0,2
14040,12,3,0,0,34.95,8,1350,16,0,0,0,0,1,3,0,0,1,5
23939,18,6,0,0,34.875,7,1383,4,0,0,0,0,0,2,0,0,0,7
20741,7,1,0,0,34.875,7,1383,4,0,0,0,0,0,3,0,0,0,7
20893,7,1,0,0,34.875,7,1383,4,0,0,0,0,0,4,0,0,0,7
5737,12,3,0,0,34.85,7,1382,4,0,0,0,0,0,0,0,0,0,3
22055,12,3,3,1,34.85,5,1328,2,0,0,0,1,1,3,0,1,0,7
13489,9,2,0,0,34.75,7,1306,28,0,0,0,1,1,4,0,0,0,5
15135,16,5,1,0,34.625,3,1334,13,0,0,0,0,1,1,0,0,1,5
3525,16,5,0,0,34.425000000000004,3,1338,13,0,0,0,0,1,4,0,0,1,2
17514,9,2,14,0,34.425,9,1029,60,0,0,0,0,2,4,0,0,1,6
14242,12,3,5,0,34.400000000000006,6,1283,11,1,1,0,0,0,4,0,0,0,5
5945,12,3,0,0,34.4,9,1025,117,1,0,0,0,0,2,0,0,0,3
12611,7,1,7,0,34.35,2,1194,32,0,0,0,0,2,2,0,0,1,5
4020,18,6,0,0,34.3,8,1366,2,0,0,0,0,1,2,0,0,1,2
4004,18,6,0,0,34.3,8,1366,2,0,0,0,0,1,2,0,0,1,2
22774,14,4,3,1,34.175,6,1280,9,0,0,0,1,0,3,0,1,0,7
4713,7,1,0,0,34.175,6,1340,9,0,0,0,1,3,3,0,0,1,3
13142,9,2,0,0,34.175,6,1340,9,0,0,0,0,2,1,0,0,1,5
26374,14,4,0,0,34.025,4,467,298,0,0,0,1,2,0,0,0,1,1
24896,7,1,6,0,33.85,4,1042,80,2,0,0,1,0,4,0,0,0,1
22792,14,4,85,7,33.824999999999996,6,159,2,0,0,0,0,1,4,0,1,1,7
9589,9,2,2,0,33.800000000000004,5,1319,3,0,0,0,1,0,4,0,0,0,4
16784,7,1,0,0,33.725,10,1262,29,0,0,0,1,0,3,0,0,0,6
9585,9,2,0,0,33.725,2,1346,1,0,0,0,0,1,4,0,0,1,4
13097,9,2,2,0,33.47500000000001,6,1282,11,0,0,0,0,0,1,0,0,0,5
7561,16,5,8,1,33.275,8,1142,23,0,0,0,1,0,4,0,1,0,3
27409,16,5,1,0,33.275,8,1295,8,1,0,0,0,1,3,0,0,0,1
3217,16,5,0,1,33.25,5,1291,5,0,0,0,0,0,2,0,1,0,2
22131,12,3,0,0,33.2,8,1244,28,1,0,0,0,1,4,0,0,1,7
12876,7,1,1,0,33.2,6,1283,11,0,0,0,0,0,4,0,0,0,5
4327,7,1,0,0,33.175,5,1225,34,0,0,0,1,0,0,0,0,1,3
4328,7,1,0,0,33.175,5,1225,34,0,0,0,1,0,0,0,0,1,3
4325,7,1,0,0,33.175,5,1225,34,0,0,0,1,0,0,0,0,0,3
4925,7,1,0,0,33.15,5,1224,34,0,0,0,1,0,4,0,0,0,3
5564,9,2,3,0,33.050000000000004,9,1058,76,0,0,0,0,3,4,0,0,1,3
26586,14,4,0,0,33.025,10,937,128,0,0,0,1,3,2,0,0,1,1
26495,14,4,0,0,33.025,10,937,128,0,0,0,0,3,1,0,0,1,1
26620,14,4,0,0,33.025,10,937,128,0,0,0,1,3,2,0,0,1,1
26251,14,4,0,0,33.025,10,937,128,0,0,0,0,3,0,0,0,1,1
26676,14,4,0,0,33.025,10,937,128,0,0,0,0,3,3,0,0,1,1
23252,16,5,7,1,32.975,6,1073,46,1,0,0,1,2,2,0,1,0,7
13465,9,2,0,0,32.900000000000006,6,1283,11,0,0,0,1,0,3,0,0,0,5
15308,16,5,1,0,32.85,5,1287,5,0,0,0,1,0,2,0,0,0,5
20150,18,6,2,0,32.85,5,1254,12,0,0,0,0,0,4,0,0,0,6
21468,9,2,2,0,32.825,6,1256,11,0,0,0,1,2,4,0,0,0,7
3519,16,5,1,0,32.75,3,1250,16,0,0,0,0,1,4,0,0,1,2
2816,14,4,3,0,32.6,7,1154,38,1,0,0,1,2,4,0,0,1,2
27095,16,5,1,0,32.6,2,1196,32,0,0,0,0,1,1,0,0,1,1
14136,12,3,2,0,32.6,4,1265,5,0,0,0,0,1,3,0,0,1,5
18464,14,4,4,1,32.575,7,1213,6,0,0,0,1,0,1,0,1,0,6
6321,14,4,0,0,32.550000000000004,3,1278,8,0,0,0,0,1,0,0,0,1,3
16209,18,6,0,0,32.325,6,1278,5,0,0,0,1,0,4,0,0,0,5
27120,16,5,0,0,32.300000000000004,2,1196,32,0,0,0,1,2,1,0,0,1,1
27144,16,5,0,0,32.300000000000004,2,1196,32,0,0,0,0,3,1,0,0,1,1
2839,14,4,2,0,32.300000000000004,7,1154,38,0,0,0,0,2,4,0,0,1,2
12836,7,1,1,0,32.3,4,1265,5,0,0,0,1,1,4,0,0,1,5
21428,9,2,0,0,32.225,6,1256,11,0,0,0,1,0,3,0,0,0,7
21055,9,2,0,0,32.225,6,1256,11,0,0,0,0,0,0,0,0,0,7
10812,14,4,0,0,32.075,5,1265,6,0,0,0,0,2,3,0,0,1,4
27838,18,6,0,0,32.075,7,1259,8,0,0,0,1,0,1,0,0,0,1
6333,14,4,0,0,32.050000000000004,5,1264,6,0,0,0,0,1,0,0,0,1,3
6309,14,4,0,0,32.050000000000004,5,1264,6,0,0,0,0,1,0,0,0,1,3
7987,18,6,2,0,31.975,9,1072,61,9,0,0,1,0,2,0,0,0,3
7305,16,5,3,0,31.6,9,991,79,0,0,0,1,2,2,0,0,0,3
6233,12,3,0,0,31.575000000000003,7,1221,14,0,0,0,0,0,4,0,0,0,3
8723,7,1,1,0,31.525000000000002,4,1249,0,0,0,0,0,1,3,0,0,1,4
24466,7,1,0,0,31.475,4,1154,35,1,0,0,2,1,1,0,0,0,1
24900,7,1,0,0,31.475,4,1154,35,0,0,0,1,0,4,0,0,0,1
