,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
4443,7,1,0,0,25.075000000000003,11,958,15,0,0,0,0,0,1,0,0,0,3
4047,18,6,0,0,25.050000000000004,6,978,8,0,0,0,0,0,3,0,0,0,2
16578,7,1,0,0,25.05,11,957,15,0,0,0,0,0,2,0,0,0,6
16721,7,1,0,0,25.05,11,957,15,0,0,0,0,0,3,0,0,0,6
3548,16,5,1,0,25.000000000000004,8,868,40,0,0,0,0,5,4,0,0,1,2
3314,16,5,1,0,25.000000000000004,8,868,40,0,0,0,1,2,2,0,0,1,2
3222,16,5,1,0,25.000000000000004,8,868,40,0,0,0,1,5,2,0,0,1,2
24742,7,1,1,0,25.000000000000004,0,988,0,0,0,0,0,4,3,0,0,1,1
8901,7,1,3,0,25.0,6,934,10,0,0,0,1,1,4,0,0,0,4
21305,9,2,0,0,24.975,9,819,60,0,0,0,0,2,2,0,0,1,7
8197,18,6,1,0,24.950000000000003,7,977,3,0,0,0,0,2,4,0,0,1,3
7200,16,5,3,0,24.95,2,932,10,0,0,0,0,0,1,0,0,0,3
6342,14,4,0,0,24.925000000000004,0,988,3,1,0,0,1,1,0,0,0,1,3
5727,12,3,0,0,24.925000000000004,9,958,13,0,0,0,1,1,0,0,0,0,3
3534,16,5,0,0,24.900000000000002,0,987,3,3,0,0,1,0,4,0,0,1,2
7511,16,5,16,0,24.900000000000002,8,792,4,0,0,0,1,0,4,0,0,0,3
3494,16,5,0,0,24.900000000000002,0,987,3,3,0,0,1,0,4,0,0,1,2
15514,16,5,4,1,24.900000000000002,1,906,6,0,0,0,1,0,4,0,1,0,5
8233,18,6,0,0,24.875000000000004,0,986,3,0,0,0,1,5,4,0,0,1,3
8021,18,6,0,0,24.875000000000004,0,986,3,0,0,0,1,5,2,0,0,1,3
19495,16,5,24,2,24.875,7,644,5,0,0,0,0,0,4,0,1,0,6
16410,7,1,0,0,24.875,7,641,118,0,0,0,1,8,1,0,0,1,6
5933,12,3,2,0,24.825000000000003,7,933,12,0,0,0,0,2,2,0,0,1,3
12272,18,6,0,0,24.775000000000002,7,982,3,0,0,0,0,2,4,0,0,1,4
26396,14,4,2,0,24.775000000000002,5,961,2,0,0,0,1,0,1,0,0,0,1
12449,7,1,0,0,24.75,6,972,6,2,0,0,1,0,1,0,0,0,5
12432,7,1,0,0,24.75,6,972,6,0,0,0,1,1,1,0,0,1,5
20908,7,1,20,3,24.725,6,668,3,0,1,0,0,1,4,0,1,0,7
24816,7,1,0,0,24.700000000000003,0,988,0,0,0,0,0,1,4,0,0,1,1
24842,7,1,0,0,24.700000000000003,0,988,0,0,0,0,1,1,4,0,0,1,1
5123,9,2,1,0,24.700000000000003,3,901,25,0,0,0,1,0,1,0,0,0,3
24764,7,1,0,0,24.700000000000003,0,988,0,0,0,0,0,1,3,0,0,1,1
24777,7,1,0,0,24.700000000000003,0,988,0,0,0,0,0,2,3,0,0,1,1
17938,12,3,1,0,24.700000000000003,3,901,25,0,0,0,1,1,2,0,0,0,6
7127,16,5,2,0,24.650000000000002,2,932,10,0,0,0,0,0,1,0,0,0,3
8906,7,1,2,0,24.650000000000002,2,932,10,0,0,0,1,0,4,0,0,0,4
8913,7,1,2,0,24.650000000000002,2,932,10,0,0,0,0,0,4,0,0,0,4
8180,18,6,0,0,24.650000000000002,7,977,3,0,0,0,0,1,4,0,0,1,3
6415,14,4,0,0,24.65,2,905,27,0,0,0,0,1,0,0,0,1,3
16822,7,1,0,0,24.625000000000004,3,958,9,0,0,0,2,0,4,0,0,0,6
12074,18,6,14,0,24.625,7,805,4,0,0,0,0,0,3,0,0,0,4
